uf,municipio,categoria,documento,data,fonte,url
ES,Vargem Alta,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/VARGEM%20ALTA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025-1.pdf
ES,Venda Nova do Imigrante,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/VENDA%20NOVA%20DO%20IMIGRANTE-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Viana,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/VIANA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-2025.pdf
ES,Vila Pavão,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/VILA%20PAVAO%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Vila Valério,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/VILA%20VAL%C3%89RIO%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Vila Velha,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/VILA%20VELHA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Vitória,plano,PMPDC — Verão 2025/2026 (2ª atualização),10/2025,Repositório oficial CEPDEC-ES,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Conting%C3%AAncia%20atualizado/2026/VIT%C3%93RIA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202024-2025.pdf
ES,Água Doce do Norte,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/%C3%81GUA%20DOCE%20DO%20NORTE%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Águia Branca,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/%C3%81GUIA%20BRANCA%20-%20PLANO%20DE%20CONTINGENCIA%20-%202025.pdf
GO,Goiânia,coberto_estadual,Sem plano municipal próprio; coberto pelo PLANCON Estiagem estadual,18/08/2026,Governo de Goiás,
MA,Apicum-Açu,decreto,Decreto de emergência por estiagem (reconhecido pela SEDEC),03/07 e 31/07/2026,DOU,
MA,Balsas,coberto_estadual,Etapa inicial do programa estadual Maranhão Sem Queimadas,26-29/05/2026,SEMA-MA/CBMMA,
MA,Bequimão,decreto,Decreto de emergência por estiagem (reconhecido pela SEDEC),31/07/2026,DOU,
MA,Riachão,coberto_estadual,Etapa inicial do programa estadual Maranhão Sem Queimadas,26-29/05/2026,SEMA-MA/CBMMA,
MA,São Luís,plano,Plano de Contingência (2024) + mapeamento 2026,2024/2026,Prefeitura de São Luís (oficial); plano de 2024 confirmado por apuração independente via LAI,https://www.saoluis.ma.gov.br/portal/noticias/0/3/2902/defesa-civil-de-sao-luis-conclui-mapeamento-de-areas-com-riscos-de-alagamentos
MA,São Raimundo das Mangabeiras,coberto_estadual,Etapa inicial do programa estadual Maranhão Sem Queimadas,26-29/05/2026,SEMA-MA/CBMMA,
MA,Tasso Fragoso,coberto_estadual,Etapa inicial do programa estadual Maranhão Sem Queimadas,26-29/05/2026,SEMA-MA/CBMMA,
MG,Belo Horizonte,plano_elaboracao,Revisão do Plano de Contingência 2026/2027 (treinamentos 17/08),17/08/2026,Prefeitura de Belo Horizonte — página oficial do Plano Municipal de Gestão de Riscos,https://prefeitura.pbh.gov.br/obras-e-infraestruturadefesa-civil/plano-de-contingencia
MS,Aquidauana,decreto,Coberto por emergência ambiental estadual/federal do Pantanal,2026,MMA/Governo MS,
MS,Campo Grande,nao_localizado,Plancon consolidado não confirmado pela prefeitura,—,Prefeitura de Campo Grande,
MS,Corumbá,decreto,"Decreto de emergência (incêndio, Serra do Amolar)",2025/2026,Imprensa regional,
MS,Ladário,decreto,Coberto por emergência ambiental estadual/federal do Pantanal,2026,MMA/Governo MS,
MS,Miranda,decreto,Coberto por emergência ambiental estadual/federal do Pantanal,2026,MMA/Governo MS,
MS,Porto Murtinho,decreto,Coberto por emergência ambiental estadual/federal do Pantanal,2026,MMA/Governo MS,
MT,Barão de Melgaço,decreto,Decreto municipal de emergência por incêndio florestal,2026,Defesa Civil MT,
MT,Cuiabá,plano_elaboracao,PLACON municipal em elaboração + Cuiabá Sem Queimadas,2026,Prefeitura de Cuiabá,
MT,Cáceres,decreto,Decreto municipal de emergência por incêndio florestal,2026,Defesa Civil MT,
MT,Poconé,decreto,Decreto municipal de emergência por incêndio florestal,2026,Defesa Civil MT,
PA,Ananindeua,nao_localizado,—,—,—,
PA,Belém,plano_elaboracao,"Plano Municipal de Enfrentamento ao Super El Niño 2026–2027 + Protocolo de Alerta e Enfrentamento ao Calor Extremo — EM ELABORAÇÃO (reunião técnica de 35 órgãos em 07/07/2026; coordenação Semma, operação Defesa Civil; três eixos)",07/07/2026,"Agência Belém (comunicação oficial da Prefeitura) reproduzida por O Liberal, RBTV, Roma News e Jornal Passaporte; achado pela bateria negativa padronizada (§4.1.2) em 27/08/2026 — julgamento humano (R7) da editora",
PA,Castanhal,nao_localizado,—,—,—,
PA,Marabá,nao_localizado,—,—,—,
PA,Mocajuba,decreto,Reconhecimento federal (chuvas),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famep
PA,Monte Alegre,decreto,Reconhecimento federal (chuvas),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famep
PA,Rio Maria,decreto,Reconhecimento federal (chuvas),13/03/2026,Agência Brasil,https://www.diariomunicipal.com.br/famep
PA,Salinópolis,decreto,Reconhecimento federal (chuvas),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famep
PA,Santa Maria das Barreiras,decreto,Reconhecimento federal (chuvas),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famep
PA,Santarém,nao_localizado,—,—,—,
PA,Óbidos,decreto,Reconhecimento federal (erosão/boçorocas),13/03/2026,Agência Brasil,https://www.diariomunicipal.com.br/famep
PB,Boa Ventura,decreto,Reconhecimento federal (estiagem),02/2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famup
PB,Caaporã,decreto,Decreto 15 (deslizamento); Portaria SEDEC 2.420,03/07/2026,Atlas Público + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,Campina Grande,plano_elaboracao,Força-tarefa p/ Plano de Contingência (risco hidrológico),2026,paraiba.com.br,
PB,Catolé do Rocha,decreto,Reconhecimento federal (seca),13/08/2026,DOU + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,Congo,decreto,Reconhecimento federal (estiagem/seca),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famup
PB,Imaculada,decreto,Reconhecimento federal; Portaria 875,17/03/2026,Atlas Público,https://www.diariomunicipal.com.br/famup
PB,João Pessoa,plano,Plano de Contingência (período chuvoso),2026,Prefeitura de João Pessoa,
PB,Lastro,decreto,Decreto 295 (estiagem); Portaria 2.420,08/07/2026,Atlas Público + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,Mogeiro,decreto,Reconhecimento federal (estiagem),13/03/2026,Agência Brasil,https://www.diariomunicipal.com.br/famup
PB,Nova Olinda,decreto,Reconhecimento federal (estiagem),02/2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famup
PB,Parari,decreto,Reconhecimento federal (estiagem),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/famup
PB,Patos,nao_localizado,—,—,—,
PB,Santa Rita,decreto,Emergência por chuvas intensas,2026,Polêmica PB,https://www.diariomunicipal.com.br/famup
PB,Santo André,decreto,Decreto 012 (estiagem); Portaria 2.420,14/07/2026,Atlas Público + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,Sousa,decreto,Decreto 974 (estiagem); Portaria SEDEC 1.878/2026,25/05/2026,O Tempo + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,São Francisco,decreto,Reconhecimento federal (seca),13/08/2026,DOU + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,São José do Sabugi,decreto,Decreto 00021 (estiagem); Portaria 2.420,14/07/2026,Atlas Público + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,São Mamede,decreto,Reconhecimento federal (seca),13/08/2026,DOU + DOM/PB,https://www.diariomunicipal.com.br/famup
PB,Umbuzeiro,decreto,Decreto 050 (estiagem); Portaria SEDEC 1.948,28/05/2026,O Tempo + DOM/PB,https://www.diariomunicipal.com.br/famup
PE,Recife,plano,Ação Inverno 2026 / Plano de Contingência Recife,23/03/2026,Ação Inverno (oficial),https://acaoinverno.recife.pe.gov.br/wp-content/uploads/2026/04/PLANO-DE-CONTINGENCIA-RECIFE-2026__final.pdf
PI,Teresina,plano,Planos de ação 2026 (chuvas + estiagem + incêndios),2026,Prefeitura de Teresina (Semdef),
PR,Almirante Tamandaré,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
PR,Antonina,nao_localizado,"Simulados de evacuação (ação, sem plano/decreto formal publicado)",2026,Defesa Civil estadual/municipal,
PR,Araucária,plano_elaboracao,Participação na articulação metropolitana El Niño (sem documento municipal próprio publicado),16/06/2026,Prefeitura de Curitiba (coordenação),
PR,Campo Largo,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
PR,Campo Magro,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
PR,Colombo,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
PR,Curitiba,plano,Plano Estratégico de Enfrentamento ao El Niño 2026/2027,16/06/2026,"Release oficial da Secom (reunião de 16/06 no Palácio 29 de Março), via imprensa regional",https://www.agoraparana.com.br/curitiba/curitiba-e-municipios-da-rmc-estao-juntos-para-enfrentar-o-maior-el-nino-dos-ultimos-140-anos/
PR,Morretes,nao_localizado,"Simulados de evacuação (ação, sem plano/decreto formal publicado)",2026,Defesa Civil estadual/municipal,
PR,Pinhais,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
PR,Piraquara,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
PR,Quatro Barras,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
PR,São José dos Pinhais,plano_elaboracao,Participação na articulação metropolitana El Niño,16/06/2026,Prefeitura de Curitiba (coordenação),
RJ,Duque de Caxias,plano,"Plano de Contingência para o Verão 2026/2027 + Plano de Contingência para os Riscos Relacionados às Fortes Precipitações Pluviométricas, apresentado à Câmara Municipal em 27/08/2026",27/08/2026,"Prefeitura de Duque de Caxias / Câmara Municipal (CMDC, oficial)",https://www.cmdc.rj.gov.br/?p=32729
RJ,Macaé,plano,"Plano de contingência para fortes chuvas, já em funcionamento; segundo plano voltado a excesso de calor em desenvolvimento","Não precisada (evidência qualitativa de fonte oficial, sem número/data de decreto localizados)",Prefeitura de Macaé (site oficial),https://www.macae.rj.gov.br/noticias/leitura/noticia/macae-participa-de-encontro-estadual-para-tracar-estrategias-de-resposta-aos-impactos-do-el-nino
RJ,Maricá,plano,"Plano de Contingência de Proteção e Defesa Civil, Verão 2025/2026, homologado por decreto, publicado no Jornal Oficial de Maricá (JOM nº 1812); revisão anual desde 2024; 247 pontos de risco geológico mapeados",27/11/2025,"Jornal Oficial de Maricá (JOM), publicação oficial",https://www.marica.rj.gov.br/wp-content/uploads/2025/11/JOM_1812_28-11-2025-2.pdf
RJ,Nova Iguaçu,plano,"Plano de Contingências de Nova Iguaçu (PLANCON-NI), versão 8.0, apresentado publicamente em 10/12/2025 — documento completo publicado em PDF",10/12/2025,"Prefeitura de Nova Iguaçu, Secretaria Municipal de Defesa Civil (oficial, PDF publicado)",https://www.novaiguacu.rj.gov.br/smdc/wp-content/uploads/sites/27/2024/12/plancon-2024-2025.pdf
RJ,Rio de Janeiro,plano,Plano de Contingência para Chuvas Intensas,vigente,Defesa Civil Estadual do RJ (oficial),https://www.defesacivil.rj.gov.br/index.php/para-municipios/plano-de-contingencias-dc
RJ,São Gonçalo,plano,"Plano Municipal de Contingência de Proteção e Defesa Civil (PLAMCON) 2025/2026, elaborado com Matriz de Responsabilidades por secretaria",21/10/2025 (workshop de entrega),Prefeitura de São Gonçalo (oficial),https://www.saogoncalo.rj.gov.br/defesa-civil-de-sao-goncalo-reforca-plano-municipal-de-contingencia-para-secretarias-com-acao-imediata-em-casos-de-desastres/
RN,Carnaubais,decreto,Decreto 069; reconhecimento federal,24/06/2026,Atlas Público + DOM/RN,https://www.diariomunicipal.com.br/femurn
RN,Governador Dix-Sept Rosado,decreto,Reconhecimento federal (estiagem),28/07/2026,DOU,https://www.diariomunicipal.com.br/femurn
RN,Itaú,decreto,Reconhecimento federal (seca),2026,Terra,https://www.diariomunicipal.com.br/femurn
RN,Messias Targino,decreto,Reconhecimento federal (seca),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/femurn
RN,Monte das Gameleiras,decreto,Reconhecimento federal (seca),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/femurn
RN,Mossoró,nao_localizado,Ações de defesa civil; PLANCON não localizado,2026,Prefeitura de Mossoró,
RN,Natal,plano,Plano de Contingência — chuvas,22/05/2026,Prefeitura de Natal,
RN,Paraná,decreto,Reconhecimento federal; Portaria 875,17/03/2026,Atlas Público,https://www.diariomunicipal.com.br/femurn
RN,Parnamirim,nao_localizado,—,—,—,
RN,Santo Antônio,decreto,Decreto 023/2026; Portaria SEDEC 1.948,08/06/2026,O Tempo + DOM/RN,https://www.diariomunicipal.com.br/femurn
RN,Serra Negra do Norte,decreto,Reconhecimento federal (seca),28/07/2026,DOU,https://www.diariomunicipal.com.br/femurn
RN,São Fernando,decreto,Reconhecimento federal (seca),28/07/2026,DOU,https://www.diariomunicipal.com.br/femurn
RN,São Gonçalo do Amarante,nao_localizado,—,—,—,
RO,Porto Velho,plano,Força-tarefa integrada + Programa 10 Passos,07-08/2026,Prefeitura de Porto Velho,
RR,Alto Alegre,decreto,Decreto de emergência por chuvas intensas nível II (180 dias),29/05/2026,Defesa Civil RR,
RR,Amajari,decreto,Decreto de emergência por chuvas,06/2026,Defesa Civil RR,
RR,Boa Vista,plano,Plano de Estiagem + fiscalização de terrenos,2026,Prefeitura de Boa Vista,
RR,Bonfim,plano_elaboracao,"Decreto de emergência por chuvas + Plano de Contingência Municipal (seca/estiagem, saúde) em finalização",05-06/2026,Defesa Civil RR / Saúde RR,
RR,Iracema,decreto,Decreto de emergência por chuvas,06/2026,Defesa Civil RR,
RR,Mucajaí,decreto,Decreto de emergência por chuvas,06/2026,Defesa Civil RR,
RR,Normandia,decreto,Decreto de emergência por chuvas,06/2026,Defesa Civil RR,
RR,Rorainópolis,decreto,Decreto de emergência por chuvas intensas nível II,28-29/05/2026,Defesa Civil RR,
RR,São Luiz,decreto,Decreto de emergência por chuvas intensas nível II,28-29/05/2026,Defesa Civil RR,
RR,Uiramutã,decreto,Decreto de emergência por chuvas (reconhecimento federal),05-06/2026,GOV.BR/MIDR,
RS,Porto Alegre,plano,"PLACON 2025 (Decreto nº 23.434, 01/09/2025) + plano específico El Niño em elaboração",01/09/2025,Prefeitura de Porto Alegre (página oficial); PLACON aprovado pelo Decreto nº 23.434/2025,https://prefeitura.poa.br/defesa-civil/plano-de-contingencias-de-protecao-e-defesa-civil
RS,São Leopoldo,plano,Plano de Contingência 2026 'Previne São Léo' (4 cenários + sistema de comando),11/07/2026,Prefeitura de São Leopoldo,
SC,Blumenau,plano,"Plano de contingência El Niño + Decreto de emergência climática + plano emergencial (obras R$12,5mi)",19/05 e 27/05/2026,Prefeitura de Blumenau / ND Mais,
SC,Bom Retiro,decreto,Decreto municipal de situação de emergência — temporais/granizo do ciclo (confirmado pela SDC/SC em 02/07/2026),02/07/2026,"Secretaria de Estado da Proteção e Defesa Civil de SC (página oficial nomeando os decretos); achado pela conciliação Talanoa (predição do eixo 3, §Anatomia) verificada em fonte primária, 27/08/2026",https://www.defesacivil.sc.gov.br/2026/07/02/sobe-para-seis-o-numero-de-municipios-catarinenses-em-situacao-de-emergencia-apos-temporais/
SC,Brusque,plano,Planos de contingência atualizados (região),2026,Prefeitura de Brusque,
SC,Chapecó,nao_localizado,—,—,—,
SC,Florianópolis,plano_elaboracao,Plano municipal em elaboração (alinhado aos 4 níveis de SC),06/2026,Imprensa (Agora Floripa),
SC,Guaramirim,decreto,Decreto municipal de situação de emergência — temporais/granizo do ciclo (confirmado pela SDC/SC em 02/07/2026),02/07/2026,"Secretaria de Estado da Proteção e Defesa Civil de SC (página oficial nomeando os decretos); achado pela conciliação Talanoa (predição do eixo 3, §Anatomia) verificada em fonte primária, 27/08/2026",https://www.defesacivil.sc.gov.br/2026/07/02/sobe-para-seis-o-numero-de-municipios-catarinenses-em-situacao-de-emergencia-apos-temporais/
SC,Indaial,plano_elaboracao,Ações de prevenção/revisão de protocolos (Vale do Itajaí),1º sem. 2026,Imprensa regional,
SC,Itajaí,plano,Protocolos Rio Itajaí-Açu / Porto / BR-101,2026,Defesa Civil SC,https://www.defesacivil.sc.gov.br
SC,Jaraguá do Sul,plano,Sistema de alerta de cheias + revisão de protocolos,2026,Prefeitura de Jaraguá do Sul,
SC,Joinville,plano,Revisão do Plano de Contingência (Plancon) para o El Niño,05/05/2026,Prefeitura de Joinville,
SC,Major Vieira,decreto,Decreto municipal de situação de emergência — temporais/granizo do ciclo (confirmado pela SDC/SC em 02/07/2026),02/07/2026,"Secretaria de Estado da Proteção e Defesa Civil de SC (página oficial nomeando os decretos); achado pela conciliação Talanoa (predição do eixo 3, §Anatomia) verificada em fonte primária, 27/08/2026",https://www.defesacivil.sc.gov.br/2026/07/02/sobe-para-seis-o-numero-de-municipios-catarinenses-em-situacao-de-emergencia-apos-temporais/
SC,Papanduva,decreto,Decreto municipal de situação de emergência — temporais/granizo do ciclo (confirmado pela SDC/SC em 14/08/2026),14/08/2026,"Secretaria de Estado da Proteção e Defesa Civil de SC (página oficial nomeando os decretos); achado pela conciliação Talanoa (predição do eixo 3, §Anatomia) verificada em fonte primária, 27/08/2026",https://www.defesacivil.sc.gov.br/2026/08/14/chuva-forte-deixa-danos-em-municipios-de-santa-catarina-e-risco-de-temporais-segue-alto-ate-sabado/
SC,Rio do Sul,plano_elaboracao,Ações de prevenção/revisão de protocolos (Vale do Itajaí),1º sem. 2026,Imprensa regional,
SC,Schroeder,decreto,Decreto municipal de situação de emergência — temporais/granizo do ciclo (confirmado pela SDC/SC em 02/07/2026),02/07/2026,"Secretaria de Estado da Proteção e Defesa Civil de SC (página oficial nomeando os decretos); achado pela conciliação Talanoa (predição do eixo 3, §Anatomia) verificada em fonte primária, 27/08/2026",https://www.defesacivil.sc.gov.br/2026/07/02/sobe-para-seis-o-numero-de-municipios-catarinenses-em-situacao-de-emergencia-apos-temporais/
SC,Timbó Grande,decreto,Decreto municipal de situação de emergência — temporais/granizo do ciclo (confirmado pela SDC/SC em 02/07/2026),02/07/2026,"Secretaria de Estado da Proteção e Defesa Civil de SC (página oficial nomeando os decretos); achado pela conciliação Talanoa (predição do eixo 3, §Anatomia) verificada em fonte primária, 27/08/2026",https://www.defesacivil.sc.gov.br/2026/07/02/sobe-para-seis-o-numero-de-municipios-catarinenses-em-situacao-de-emergencia-apos-temporais/
SE,Aracaju,plano,Plano de Contingenciamento (ed. 2024),2024,Prefeitura de Aracaju,
SE,Arauá,plano_antigo,PLANCON edição 2018 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Campo do Brito,plano,PLANCON edição 2026,2026,Defesa Civil SE (repositório PLANCON),
SE,Canindé de São Francisco,decreto,Decreto 039/2026 (chuvas); PLANCON ed. corrigida,06/03/2026,Defesa Civil SE,https://www.diariomunicipal.com.br/sergipe
SE,Carira,decreto,Decreto est. 1.530 (estiagem/seca),11/08/2026,Infonet,https://www.diariomunicipal.com.br/sergipe
SE,Cedro de São João,plano,"PLANCON ed. 2023, atualizado 31/01/2025 (repositório estadual)",26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Divina Pastora,plano_antigo,PLANCON edição 2018 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Estância,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Frei Paulo,decreto,Decreto de seca/estiagem vigente; PLANCON ed. 2018 no repositório estadual,2026,A8SE,https://www.diariomunicipal.com.br/sergipe
SE,Itabaiana,plano_antigo,PLANCON edição 2018,2018,Defesa Civil SE (repositório PLANCON),
SE,Itabaianinha,plano_antigo,PLANCON edição 2019 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Lagarto,plano,"PLANCON edição 2026 — publicado no DOM de Lagarto ano I nº 296, 24/08/2026",24/08/2026,DOM de Lagarto via repositório estadual (DEPEC/SE),https://defesacivil.se.gov.br/wp-content/uploads/2026/08/Plancon-edicao-2026.pdf
SE,Malhada dos Bois,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Maruim,plano,PLANCON edição 2026,2026,Defesa Civil SE (repositório PLANCON),
SE,Monte Alegre de Sergipe,decreto,Decreto de seca; Portarias 1.489/1.491/1.492,2026,NE Notícias,https://www.diariomunicipal.com.br/sergipe
SE,Nossa Senhora Aparecida,decreto,Reconhecimento federal (estiagem/seca),2026,GOV.BR/MIDR,https://www.diariomunicipal.com.br/sergipe
SE,Nossa Senhora da Glória,decreto,Decreto de seca/estiagem vigente,2026,A8SE,https://www.diariomunicipal.com.br/sergipe
SE,Nossa Senhora do Socorro,plano_antigo,PLANCON edição 2019,2019,Defesa Civil SE (repositório PLANCON),
SE,Pinhão,plano_antigo,PLANCON edição 2018 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Porto da Folha,decreto,Decreto de seca/estiagem vigente,2026,A8SE,https://www.diariomunicipal.com.br/sergipe
SE,Poço Redondo,decreto,Decreto de seca/estiagem vigente,2026,A8SE,https://www.diariomunicipal.com.br/sergipe
SE,Poço Verde,decreto,Decreto de seca/estiagem vigente,2026,A8SE,https://www.diariomunicipal.com.br/sergipe
SE,Riachuelo,plano_antigo,PLANCON edição 2019 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Santana do São Francisco,plano_antigo,PLANCON edição 2019 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Santo Amaro das Brotas,plano_antigo,PLANCON edição 2018 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,São Cristóvão,plano_antigo,PLANCON edição 2019 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,São Francisco,plano,PLANCON edição 2026,2026,Defesa Civil SE (repositório PLANCON),
SE,Telha,plano_antigo,PLANCON edição 2021 (repositório estadual),26/08/2026,Defesa Civil SE (DEPEC) — repositório estadual de PLANCONs,
SE,Tobias Barreto,decreto,Decreto est. 1.529 (estiagem); PLANCON 2018,11/08/2026,Infonet,https://www.diariomunicipal.com.br/sergipe
SP,Campinas,plano,"Pacote de ações estratégicas e integradas contra o 'Super El Niño' (21 estações meteorológicas, R$ 350.700 investidos, capacitação de equipes, integrado ao Plano Local de Ação Climática) — apresentado 17-19/06/2026",17/06/2026,"Prefeitura de Campinas (oficial, via Hora Campinas e Correio Popular)",https://horacampinas.com.br/prefeitura-de-campinas-apresenta-pacote-de-acoes-para-enfrentar-o-super-el-nino/
SP,Guarujá,plano,"Plano Preventivo da Defesa Civil (PPDC) ampliado, com atualização dos protocolos do Plano de Contingência Municipal (Plancon) diante do El Niño",29/07/2026,"Plantão Guarujá (imprensa, citando Prefeitura de Guarujá)",https://www.plantaoguaruja.com.br/noticia/guaruja-amplia-plano-preventivo-da-defesa-civil-diante-da-previsao-de-el-nino
SP,Guarulhos,plano,"Plano da Defesa Civil para o verão (anual, apresentado à Câmara Municipal) + Operação Estiagem — Compdec de Guarulhos",Recorrente (apresentação anual à Câmara),Prefeitura de Guarulhos / Câmara Municipal de Guarulhos (oficial),https://www.guarulhos.sp.leg.br/noticia/plano-da-defesa-civil-para-o-verao-e-apresentado-na-camara-323
SP,Jacareí,plano,"Plano de Contingência e Proteção 2026, atualizado anualmente, com 30 áreas de risco sob monitoramento semanal e integração com o Cemaden",2026 (atualização anual),"Vale 360 News, citando Defesa Civil de Jacareí (imprensa)",https://www.vale360news.com.br/el-nino-em-jacarei-defesa-civil-monitora-30-areas-de-risco-e-atualiza-contingencia/
SP,Mauá,plano,"Plano de contingência preventivo estruturado pela Secretaria Municipal de Saúde, junto à Sala de Situação de Eventos Climáticos, para alagamentos, deslizamentos e temperaturas extremas do El Niño (medidas de abastecimento, cadeia fria, ampliação de leitos)",28/08/2026,"ABCdoABC (imprensa, citando Secretaria Municipal de Saúde de Mauá)",https://www.abcdoabc.com.br/saude-maua-plano-contra-impactos-el-nino/
SP,São Bernardo do Campo,plano,"Plano de contingência com monitoramento de 126 áreas de risco (40+ pluviômetros, câmeras de vigilância) — medidas de prevenção contra El Niño",28/08/2026,"Prefeitura de Santo André / Encontra Santo André (imprensa, citando ação de SBC)",https://www.encontrasantoandre.com.br/sobre/santo-andre-e-sao-bernardo-do-campo-adotam-medidas-de-prevencao-de-desastres-para-diminuir-impactos-do-el-nino/
SP,São Paulo,plano,Plano Preventivo de Chuvas de Verão (PPCV),26/08/2026,Defesa Civil de São Paulo,https://prefeitura.sp.gov.br/web/secretaria_executiva_de_mudancas_climaticas/participacao_social/conselhos_e_orgaos_colegiados/plano_preventivo_de_chuva_de_verao
TO,Palmas,plano,Comitê PrevIncêndio (permanente),2026,Prefeitura de Palmas,
